GS1 Application Identifiers
https://www.gs1.org/standards/barcodes/application-identifiers?lang=es



AI       Descripción                                                                                                                                      Formato                    Titulo                                 FNC1          Expresión regular                                                         
00       Código Seriado de Contenedor de Embarque (SSCC)                                                                                                  N2+N18       		     SSCC                                   No            ^00(\d{18})$                                                                                            
3275	 Profundidad, grosor, altura, o tercera dimensión, pulgadas (artículo comercial de medidas variables)                                             N4+N6        		     HEIGHT (in)                            No            ^3275(\d{6})$                                                                                           
3280	 Profundidad, grosor, altura o tercera dimensión, pies (artículo comercial de medidas variables)                                                  N4+N6        		     HEIGHT (ft)                            No            ^3280(\d{6})$                                                                                           
3281	 Profundidad, grosor, altura o tercera dimensión, pies (artículo comercial de medidas variables)                                                  N4+N6        		     HEIGHT (ft)                            No            ^3281(\d{6})$                                                                                           
3282	 Profundidad, grosor, altura o tercera dimensión, pies (artículo comercial de medidas variables)                                                  N4+N6        		     HEIGHT (ft)                            No            ^3282(\d{6})$                                                                                           
3283	 Profundidad, grosor, altura o tercera dimensión, pies (artículo comercial de medidas variables)                                                  N4+N6        		     HEIGHT (ft)                            No            ^3283(\d{6})$                                                                                           
3284	 Profundidad, grosor, altura o tercera dimensión, pies (artículo comercial de medidas variables)                                                  N4+N6        		     HEIGHT (ft)                            No            ^3284(\d{6})$                                                                                           
3285	 Profundidad, grosor, altura o tercera dimensión, pies (artículo comercial de medidas variables)                                                  N4+N6        		     HEIGHT (ft)                            No            ^3285(\d{6})$                                                                                           
3290	 Profundidad, grosor, altura, o tercera dimensión, yardas (artículo comercial de medidas variables)                                               N4+N6        		     HEIGHT (yd)                            No            ^3290(\d{6})$                                                                                           
3291	 Profundidad, grosor, altura, o tercera dimensión, yardas (artículo comercial de medidas variables)                                               N4+N6        		     HEIGHT (yd)                            No            ^3291(\d{6})$                                                                                           
3292	 Profundidad, grosor, altura, o tercera dimensión, yardas (artículo comercial de medidas variables)                                               N4+N6        		     HEIGHT (yd)                            No            ^3292(\d{6})$                                                                                           
3293	 Profundidad, grosor, altura, o tercera dimensión, yardas (artículo comercial de medidas variables)                                               N4+N6        		     HEIGHT (yd)                            No            ^3293(\d{6})$                                                                                           
3294	 Profundidad, grosor, altura, o tercera dimensión, yardas (artículo comercial de medidas variables)                                               N4+N6        		     HEIGHT (yd)                            No            ^3294(\d{6})$                                                                                           
3295	 Profundidad, grosor, altura, o tercera dimensión, yardas (artículo comercial de medidas variables)                                               N4+N6        		     HEIGHT (yd)                            No            ^3295(\d{6})$                                                                                           
3300	 Peso logístico, kilogramos                                                                                                                       N4+N6        		     GROSS WEIGHT (kg)                      No            ^3300(\d{6})$                                                                                           
3301	 Peso logístico, kilogramos                                                                                                                       N4+N6        		     GROSS WEIGHT (kg)                      No            ^3301(\d{6})$                                                                                           
3302	 Peso logístico, kilogramos                                                                                                                       N4+N6        		     GROSS WEIGHT (kg)                      No            ^3302(\d{6})$                                                                                           
3303	 Peso logístico, kilogramos                                                                                                                       N4+N6        		     GROSS WEIGHT (kg)                      No            ^3303(\d{6})$                                                                                           
3304	 Peso logístico, kilogramos                                                                                                                       N4+N6        		     GROSS WEIGHT (kg)                      No            ^3304(\d{6})$                                                                                           
3305	 Peso logístico, kilogramos                                                                                                                       N4+N6        		     GROSS WEIGHT (kg)                      No            ^3305(\d{6})$                                                                                           
3310	 Longitud o primera dimensión, metros                                                                                                             N4+N6        		     LENGTH (m), log                        No            ^3310(\d{6})$                                                                                           
3311	 Longitud o primera dimensión, metros                                                                                                             N4+N6        		     LENGTH (m), log                        No            ^3311(\d{6})$                                                                                           
3312	 Longitud o primera dimensión, metros                                                                                                             N4+N6        		     LENGTH (m), log                        No            ^3312(\d{6})$                                                                                           
3313	 Longitud o primera dimensión, metros                                                                                                             N4+N6        		     LENGTH (m), log                        No            ^3313(\d{6})$                                                                                           
3314	 Longitud o primera dimensión, metros                                                                                                             N4+N6        		     LENGTH (m), log                        No            ^3314(\d{6})$                                                                                           
3315	 Longitud o primera dimensión, metros                                                                                                             N4+N6        		     LENGTH (m), log                        No            ^3315(\d{6})$                                                                                           
3320	 Ancho, diámetro, o segunda dimensión, metros                                                                                                     N4+N6        		     WIDTH (m), log                         No            ^3320(\d{6})$                                                                                           
3321	 Ancho, diámetro, o segunda dimensión, metros                                                                                                     N4+N6        		     WIDTH (m), log                         No            ^3321(\d{6})$                                                                                           
3322	 Ancho, diámetro, o segunda dimensión, metros                                                                                                     N4+N6        		     WIDTH (m), log                         No            ^3322(\d{6})$                                                                                           
3323	 Ancho, diámetro, o segunda dimensión, metros                                                                                                     N4+N6        		     WIDTH (m), log                         No            ^3323(\d{6})$                                                                                           
3324	 Ancho, diámetro, o segunda dimensión, metros                                                                                                     N4+N6        		     WIDTH (m), log                         No            ^3324(\d{6})$                                                                                           
3325	 Ancho, diámetro, o segunda dimensión, metros                                                                                                     N4+N6        		     WIDTH (m), log                         No            ^3325(\d{6})$                                                                                           
3330	 Profundidad, grosor, altura, o tercera dimensión, metros                                                                                         N4+N6        		     HEIGHT (m), log                        No            ^3330(\d{6})$                                                                                           
3331	 Profundidad, grosor, altura, o tercera dimensión, metros                                                                                         N4+N6        		     HEIGHT (m), log                        No            ^3331(\d{6})$                                                                                           
3332	 Profundidad, grosor, altura, o tercera dimensión, metros                                                                                         N4+N6        		     HEIGHT (m), log                        No            ^3332(\d{6})$                                                                                           
3333	 Profundidad, grosor, altura, o tercera dimensión, metros                                                                                         N4+N6        		     HEIGHT (m), log                        No            ^3333(\d{6})$                                                                                           
3334	 Profundidad, grosor, altura, o tercera dimensión, metros                                                                                         N4+N6        		     HEIGHT (m), log                        No            ^3334(\d{6})$                                                                                           
3335	 Profundidad, grosor, altura, o tercera dimensión, metros                                                                                         N4+N6        		     HEIGHT (m), log                        No            ^3335(\d{6})$                                                                                           
3340	 Área, metros cuadrados                                                                                                                           N4+N6        		     AREA (m2), log                         No            ^3340(\d{6})$                                                                                           
3341	 Área, metros cuadrados                                                                                                                           N4+N6        		     AREA (m2), log                         No            ^3341(\d{6})$                                                                                           
3342	 Área, metros cuadrados                                                                                                                           N4+N6        		     AREA (m2), log                         No            ^3342(\d{6})$                                                                                           
3343	 Área, metros cuadrados                                                                                                                           N4+N6        		     AREA (m2), log                         No            ^3343(\d{6})$                                                                                           
3344	 Área, metros cuadrados                                                                                                                           N4+N6        		     AREA (m2), log                         No            ^3344(\d{6})$                                                                                           
3345	 Área, metros cuadrados                                                                                                                           N4+N6        		     AREA (m2), log                         No            ^3345(\d{6})$                                                                                           
3350	 Volumen logístico, litros                                                                                                                        N4+N6        		     VOLUME (l), log                        No            ^3350(\d{6})$                                                                                           
3351	 Volumen logístico, litros                                                                                                                        N4+N6        		     VOLUME (l), log                        No            ^3351(\d{6})$                                                                                           
3352	 Volumen logístico, litros                                                                                                                        N4+N6        		     VOLUME (l), log                        No            ^3352(\d{6})$                                                                                           
3353	 Volumen logístico, litros                                                                                                                        N4+N6        		     VOLUME (l), log                        No            ^3353(\d{6})$                                                                                           
3354	 Volumen logístico, litros                                                                                                                        N4+N6        		     VOLUME (l), log                        No            ^3354(\d{6})$                                                                                           
3355	 Volumen logístico, litros                                                                                                                        N4+N6        		     VOLUME (l), log                        No            ^3355(\d{6})$                                                                                           
3360	 Volumen logístico, metros cúbicos                                                                                                                N4+N6        		     VOLUME (m3), log                       No            ^3360(\d{6})$                                                                                           
3361	 Volumen logístico, metros cúbicos                                                                                                                N4+N6        		     VOLUME (m3), log                       No            ^3361(\d{6})$                                                                                           
3362	 Volumen logístico, metros cúbicos                                                                                                                N4+N6        		     VOLUME (m3), log                       No            ^3362(\d{6})$                                                                                           
3363	 Volumen logístico, metros cúbicos                                                                                                                N4+N6        		     VOLUME (m3), log                       No            ^3363(\d{6})$                                                                                           
3364	 Volumen logístico, metros cúbicos                                                                                                                N4+N6        		     VOLUME (m3), log                       No            ^3364(\d{6})$                                                                                           
3365	 Volumen logístico, metros cúbicos                                                                                                                N4+N6        		     VOLUME (m3), log                       No            ^3365(\d{6})$                                                                                           
3370	 Kilogramos por metro cuadrado                                                                                                                    N4+N6        		     KG PER m2                              No            ^3370(\d{6})$                                                                                           
3371	 Kilogramos por metro cuadrado                                                                                                                    N4+N6        		     KG PER m2                              No            ^3371(\d{6})$                                                                                           
3372	 Kilogramos por metro cuadrado                                                                                                                    N4+N6        		     KG PER m2                              No            ^3372(\d{6})$                                                                                           
3373	 Kilogramos por metro cuadrado                                                                                                                    N4+N6        		     KG PER m2                              No            ^3373(\d{6})$                                                                                           
3374	 Kilogramos por metro cuadrado                                                                                                                    N4+N6        		     KG PER m2                              No            ^3374(\d{6})$                                                                                           
3375	 Kilogramos por metro cuadrado                                                                                                                    N4+N6        		     KG PER m2                              No            ^3375(\d{6})$                                                                                           
3400	 Peso logístico, libras                                                                                                                           N4+N6        		     GROSS WEIGHT (lb)                      No            ^3400(\d{6})$                                                                                           
3401	 Peso logístico, libras                                                                                                                           N4+N6        		     GROSS WEIGHT (lb)                      No            ^3401(\d{6})$                                                                                           
3402	 Peso logístico, libras                                                                                                                           N4+N6        		     GROSS WEIGHT (lb)                      No            ^3402(\d{6})$                                                                                           
